idx,speaker,target_emotion,frozen_ser_pred,frozen_correct,online_ser_pred,online_correct,moved_energy_toward_tgt,moved_energy_dyn_toward_tgt,src_e_mean,gen_e_mean,tgt_e_mean,src_e_dyn,gen_e_dyn,tgt_e_dyn,src_f0_mean,gen_f0_mean,tgt_f0_mean,mel_l1_vs_tgt,mel_l1_vs_src
0,M_07_SIBLY,angry,angry,1,angry,1,1,1,-46.302,-49.033,-49.722,3.603,3.079,2.498,176.7,194.8,240.2,9.191,5.968
1,M_05_DURANTO,angry,angry,1,angry,1,1,0,-49.986,-47.869,-46.448,4.422,4.207,5.135,133.3,249.0,172.9,7.432,5.815
2,M_03_ILIAS,happy,happy,1,happy,1,1,0,-51.638,-48.916,-46.994,3.675,3.443,3.984,176.0,206.0,276.8,9.149,5.248
3,M_03_ILIAS,sad,sad,1,sad,1,0,1,-53.06,-50.725,-54.55,3.686,3.622,3.009,162.3,196.3,168.5,8.472,4.904
4,F_10_FAHMEE,sad,sad,1,sad,1,1,1,-56.541,-55.947,-52.42,3.013,2.622,2.346,227.5,227.0,260.4,9.736,3.622
5,F_01_OISHI,sad,sad,1,sad,1,1,0,-56.157,-55.525,-52.385,3.043,3.009,3.19,232.3,243.2,302.8,10.98,3.684
6,F_04_SWARNALI,sad,sad,1,sad,1,0,1,-49.789,-50.67,-46.768,2.943,2.72,2.725,203.7,223.4,315.3,13.078,4.787
7,M_02_NIPUN,happy,happy,1,happy,1,1,0,-51.252,-49.576,-47.69,3.499,2.774,3.21,151.6,163.7,222.0,10.42,5.429
8,F_09_CHAITY,happy,happy,1,happy,1,1,1,-50.721,-50.945,-50.913,3.566,3.669,3.778,272.0,270.2,257.0,6.981,4.238
9,M_01_BASHIR,happy,happy,1,happy,1,0,0,-51.756,-50.862,-52.073,3.587,3.769,3.672,125.7,143.7,194.1,7.942,5.524
10,F_02_MONIKA,happy,happy,1,happy,1,0,1,-51.22,-51.192,-52.117,3.539,3.465,3.304,215.2,226.6,343.0,9.827,5.03
11,M_02_NIPUN,angry,angry,1,angry,1,1,0,-61.409,-54.888,-57.694,2.812,2.964,2.284,149.9,237.9,228.8,10.968,7.996
12,M_08_PRASUN,happy,happy,1,happy,1,0,1,-46.327,-46.531,-44.687,3.737,2.779,3.119,145.1,171.5,181.5,7.662,5.52
13,F_04_SWARNALI,sad,sad,1,sad,1,1,1,-55.271,-51.331,-50.942,2.976,3.291,3.508,210.2,214.6,282.2,10.021,5.91
14,F_07_TITHI,happy,happy,1,happy,1,1,0,-50.28,-47.092,-48.26,3.361,3.185,3.958,218.3,224.6,348.6,9.342,6.172
15,F_05_MOUNI,angry,angry,1,angry,1,1,0,-51.056,-48.239,-45.287,4.488,3.918,4.203,226.7,243.8,355.0,12.264,6.534
16,F_02_MONIKA,sad,sad,1,sad,1,1,1,-53.256,-52.163,-50.206,3.494,3.273,3.379,223.8,232.5,282.3,10.813,4.583
17,M_08_PRASUN,angry,angry,1,angry,1,1,1,-48.602,-48.452,-47.864,3.498,3.083,2.829,144.9,235.8,251.4,8.771,5.585
